file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,63,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,2
style.css,64,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,7
style.css,65,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,21
style.css,66,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,18
style.css,67,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,14
style.css,68,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,14
style.css,69,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,0
style.css,70,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,0
style.css,71,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,8
style.css,72,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,26
style.css,73,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,26
style.css,74,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,40
style.css,75,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,21
style.css,76,css,8087e1bb,saanvi-ranadive,2025-04-11,20:14:39,-07:00,2025-04-11T20:14:39-07:00,0,25
style.css,77,css,1954295c,saanvi-ranadive,2025-04-18,22:14:36,-07:00,2025-04-18T22:14:36-07:00,0,70
style.css,78,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,0
style.css,79,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,0
style.css,80,css,8087e1bb,saanvi-ranadive,2025-04-11,20:14:39,-07:00,2025-04-11T20:14:39-07:00,0,10
style.css,81,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,26
style.css,82,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,26
style.css,83,css,1954295c,saanvi-ranadive,2025-04-18,22:14:36,-07:00,2025-04-18T22:14:36-07:00,0,40
style.css,84,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,21
style.css,85,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,0
style.css,86,css,37d62427,saanvi-ranadive,2025-04-04,14:00:32,-07:00,2025-04-04T14:00:32-07:00,0,0
style.css,87,css,37d62427,saanvi-ranadive,2025-04-04,14:00:32,-07:00,2025-04-04T14:00:32-07:00,0,0
style.css,88,css,37d62427,saanvi-ranadive,2025-04-04,14:00:32,-07:00,2025-04-04T14:00:32-07:00,0,5
style.css,89,css,37d62427,saanvi-ranadive,2025-04-04,14:00:32,-07:00,2025-04-04T14:00:32-07:00,0,15
style.css,90,css,37d62427,saanvi-ranadive,2025-04-04,14:00:32,-07:00,2025-04-04T14:00:32-07:00,0,12
style.css,91,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,0
style.css,92,css,d1ef665d,saanvi-ranadive,2025-04-11,14:00:52,-07:00,2025-04-11T14:00:52-07:00,0,0
style.css,93,css,8087e1bb,saanvi-ranadive,2025-04-11,20:14:39,-07:00,2025-04-11T20:14:39-07:00,0,10
style.css,94,css,8087e1bb,saanvi-ranadive,2025-04-11,20:14:39,-07:00,2025-04-11T20:14:39-07:00,0,13
style.css,95,css,298a8635,saanvi-ranadive,2025-05-01,18:29:52,-07:00,2025-05-01T18:29:52-07:00,0,60
style.css,96,css,298a8635,saanvi-ranadive,2025-05-01,18:29:52,-07:00,2025-05-01T18:29:52-07:00,0,9
style.css,97,css,298a8635,saanvi-ranadive,2025-05-01,18:29:52,-07:00,2025-05-01T18:29:52-07:00,0,20
style.css,98,css,8087e1bb,saanvi-ranadive,2025-04-11,20:14:39,-07:00,2025-04-11T20:14:39-07:00,0,0
style.css,99,css,8087e1bb,saanvi-ranadive,2025-04-11,20:14:39,-07:00,2025-04-11T20:14:39-07:00,0,8
style.css,100,css,8087e1bb,saanvi-ranadive,2025-04-11,20:14:39,-07:00,2025-04-11T20:14:39-07:00,0,13
